"","STATE","ST_CASE","VE_FORMS","VEH_NO","PER_NO","N_MOT_NO","COUNTY","DAY","MONTH","HOUR","MINUTE","ROAD_FNC","HARM_EV","MAN_COLL","SCH_BUS","MAKE","MAK_MOD","BODY_TYP","MOD_YEAR","VINTYPE","VINMAKE","VINA_MOD","VIN_BT","VINMODYR","VIN_LNGT","VIN_WGT","WGTCD_TR","WHLBS_LG","WHLBS_SH","SER_TR","FUELCODE","MCYCL_DS","TOW_VEH","SPEC_USE","EMER_USE","ROLLOVER","IMPACT1","IMPACT2","FIRE_EXP","AGE","SEX","PER_TYP","INJ_SEV","SEAT_POS","REST_USE","REST_MIS","AIR_BAG","EJECTION","EJ_PATH","EXTRICAT","DRINKING","ALC_DET","ALC_STATUS","ATST_TYP","ALC_RES","DRUGS","DRUG_DET","DSTATUS","DRUGTST1","DRUGTST2","DRUGTST3","DRUGRES1","DRUGRES2","DRUGRES3","HOSPITAL","DOA","DEATH_DA","DEATH_MO","DEATH_YR","DEATH_HR","DEATH_MN","DEATH_TM","LAG_HRS","LAG_MINS","P_SF1","P_SF2","P_SF3","CERT_NO","WORK_INJ","HISPANIC","RACE","LOCATION"
"1",17,170005,4,1,1,0,23,5,1,2,15,1,12,8,0,22,22002,4,1997,"P","PONT","BVS","4D",97,17,3350,NA,0,1108,NA,"G",NA,0,0,0,0,63,12,0,26,1,1,4,11,3,0,20,0,0,1,1,9,2,1,30,8,8,2,1,0,0,695,0,0,0,7,5,1,2010,2,15,215,0,0,0,0,0,"************",0,7,1,0
"2",17,170359,2,1,1,0,143,2,7,17,0,1,1,0,0,12,12471,30,1994,"T","FORD","RNS","PS",94,17,NA,1,0,1250,"RNG","G",NA,0,0,0,1,0,98,0,29,1,1,4,11,99,0,20,0,0,0,0,9,2,1,5,8,8,0,0,0,0,0,0,0,0,7,2,7,2010,18,0,1800,1,0,0,0,0,"************",0,7,1,0
"3",17,170411,3,3,1,0,199,17,7,10,15,1,12,6,0,72,72706,80,2007,"M","HD","STC","RS",7,17,NA,NA,NA,NA,NA,NA,1584,0,0,0,0,11,98,0,48,1,1,4,11,17,0,0,8,0,0,0,9,2,1,21,8,8,2,1,1,1,407,402,998,5,0,17,7,2010,10,40,1040,0,25,0,0,0,"************",0,7,1,0
"4",17,170750,2,1,1,0,27,17,11,4,53,1,12,2,0,20,20024,6,2010,"P","CHEV","TRV","UT",10,17,4790,NA,0,1189,NA,"G",NA,0,0,0,0,12,98,1,39,1,1,4,11,3,0,1,0,0,1,1,9,2,1,16,8,8,2,1,0,0,1,0,0,5,0,17,11,2010,6,1,601,1,8,0,0,0,"************",0,7,1,0
"5",17,170080,1,0,1,1,55,6,3,3,18,11,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,5,4,0,96,8,97,8,0,0,1,5,2,1,22,8,8,2,1,0,0,1,0,0,0,7,6,3,2010,3,18,318,0,0,0,0,0,"************",0,7,1,11
"6",17,170135,1,1,1,0,197,6,4,23,45,11,24,0,0,71,71705,80,2004,"U",NA,NA,NA,4,17,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,12,12,0,35,1,1,4,11,16,0,0,8,0,0,1,9,2,1,21,8,8,2,1,0,0,606,0,0,0,7,7,4,2010,0,25,25,0,40,0,0,0,"************",0,7,1,0
"7",17,170149,2,1,2,0,31,15,3,22,57,11,25,0,0,58,58039,6,2003,"P","INFI","IFX","UT",3,17,2170,NA,0,1122,NA,"G",NA,0,0,0,1,82,98,0,28,1,2,4,13,7,0,8,1,9,0,8,9,2,1,14,8,8,2,1,0,0,1,0,0,0,7,16,3,2010,4,20,420,5,23,0,0,0,"************",0,1,1,0
"8",17,170193,2,1,1,0,97,1,5,2,35,11,12,1,0,63,63441,20,2002,"P","KIA","SED","SV",2,17,4709,NA,0,1145,NA,"G",NA,0,0,0,1,12,98,0,31,1,1,4,11,99,0,1,2,9,0,9,9,2,1,20,8,8,2,1,0,0,1,0,0,5,0,1,5,2010,4,0,400,1,25,0,0,0,"************",0,7,2,0
"9",17,170197,1,1,2,0,31,5,5,23,24,11,1,0,0,20,20022,4,2008,"P","CHEV","BLS","4D",8,17,3216,NA,0,1033,NA,"G",NA,0,0,0,1,0,98,0,25,1,2,4,13,7,0,1,0,0,1,8,9,2,1,9,8,8,2,1,0,0,1,0,0,5,0,6,5,2010,0,21,21,0,57,0,0,0,"************",0,7,2,0
"10",17,170235,2,2,1,0,31,3,5,21,52,11,12,6,0,18,18002,4,1998,"P","BUIC","LLF","4D",98,17,3370,NA,0,1108,NA,"G",NA,0,0,0,0,9,98,0,56,1,1,4,11,3,0,20,0,0,1,8,9,2,1,16,8,8,2,1,0,0,1,0,0,5,0,3,5,2010,22,38,2238,0,46,0,0,0,"************",0,1,1,0
