"","STATE","STATENAME","ST_CASE","VE_FORMS","VEH_NO","PER_NO","STR_VEH","COUNTY","DAY","DAYNAME","MONTH","MONTHNAME","HOUR","HOURNAME","MINUTE","MINUTENAME","RUR_URB","RUR_URBNAME","FUNC_SYS","FUNC_SYSNAME","HARM_EV","HARM_EVNAME","MAN_COLL","MAN_COLLNAME","SCH_BUS","SCH_BUSNAME","MAKE","MAKENAME","MAK_MOD","BODY_TYP","BODY_TYPNAME","MOD_YEAR","MOD_YEARNAME","TOW_VEH","TOW_VEHNAME","SPEC_USE","SPEC_USENAME","EMER_USE","EMER_USENAME","ROLLOVER","ROLLOVERNAME","IMPACT1","IMPACT1NAME","FIRE_EXP","FIRE_EXPNAME","AGE","AGENAME","SEX","SEXNAME","PER_TYP","PER_TYPNAME","INJ_SEV","INJ_SEVNAME","SEAT_POS","SEAT_POSNAME","REST_USE","REST_USENAME","REST_MIS","REST_MISNAME","AIR_BAG","AIR_BAGNAME","EJECTION","EJECTIONNAME","EJ_PATH","EJ_PATHNAME","EXTRICAT","EXTRICATNAME","DRINKING","DRINKINGNAME","ALC_DET","ALC_DETNAME","ALC_STATUS","ALC_STATUSNAME","ATST_TYP","ATST_TYPNAME","ALC_RES","ALC_RESNAME","DRUGS","DRUGSNAME","DRUG_DET","DRUG_DETNAME","DSTATUS","DSTATUSNAME","HOSPITAL","HOSPITALNAME","DOA","DOANAME","DEATH_DA","DEATH_DANAME","DEATH_MO","DEATH_MONAME","DEATH_YR","DEATH_YRNAME","DEATH_HR","DEATH_HRNAME","DEATH_MN","DEATH_MNNAME","DEATH_TM","DEATH_TMNAME","LAG_HRS","LAG_HRSNAME","LAG_MINS","LAG_MINSNAME","P_SF1","P_SF1NAME","P_SF2","P_SF2NAME","P_SF3","P_SF3NAME","WORK_INJ","WORK_INJNAME","HISPANIC","HISPANICNAME","LOCATION","LOCATIONNAME","HELM_USE","HELM_USENAME","HELM_MIS","HELM_MISNAME"
"1",17,"Illinois",170066,1,1,1,0,31,4,4,2,"February",1,"1:00am-1:59am",59,"59",2,"Urban",1,"Interstate",14,"Parked Motor Vehicle",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",55,"Hyundai","Hyundai Elantra",4,"4-door sedan, hardtop",2016,"2016",0,"No Trailing Units",0,"No Special Use",0,"Not Applicable",0,"No Rollover",12,"12 Clock Point",0,"No or Not Reported",33,"33 Years",1,"Male",1,"Driver of a Motor Vehicle In-Transport",4,"Fatal Injury (K)",11,"Front Seat, Left Side",20,"None Used/Not Applicable",7,"None Used/Not Applicable",8,"Deployed- Combination",0,"Not Ejected",0,"Ejection Path Not Applicable",1,"Extricated",9,"Reported as Unknown",9,"Not Reported",2,"Test Given",1,"Blood",173,"0.173 % BAC",8,"Not Reported",8,"Not Reported",2,"Test Given",5,"EMS Ground",0,"Not Applicable",4,"4",2,"February",2019,"2019",3,"3:00-3:59",5,"5",305,"305",1,"1",6,"6",0,"None",0,"None",0,"None",0,"No",7,"Non-Hispanic",0,"Occupant of a Motor Vehicle",20,"Not Applicable",7,"None Used/Not Applicable"
"2",17,"Illinois",170091,1,1,1,0,31,3,3,3,"March",23,"11:00pm-11:59pm",57,"57",2,"Urban",1,"Interstate",59,"Traffic Sign Support",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",54,"Acura","Acura TL",4,"4-door sedan, hardtop",2009,"2009",0,"No Trailing Units",0,"No Special Use",0,"Not Applicable",0,"No Rollover",12,"12 Clock Point",0,"No or Not Reported",32,"32 Years",1,"Male",1,"Driver of a Motor Vehicle In-Transport",4,"Fatal Injury (K)",11,"Front Seat, Left Side",20,"None Used/Not Applicable",7,"None Used/Not Applicable",8,"Deployed- Combination",0,"Not Ejected",0,"Ejection Path Not Applicable",0,"Not Extricated or Not Applicable",1,"Yes (Alcohol Involved)",1,"Evidential Test (breath, blood, urine)",2,"Test Given",1,"Blood",284,"0.284 % BAC",0,"No (drugs not involved)",1,"Evidential Test (Blood, Urine)",2,"Test Given",5,"EMS Ground",0,"Not Applicable",7,"7",3,"March",2019,"2019",10,"10:00-10:59",33,"33",1033,"1033",82,"82",36,"36",0,"None",0,"None",0,"None",0,"No",7,"Non-Hispanic",0,"Occupant of a Motor Vehicle",20,"Not Applicable",7,"None Used/Not Applicable"
"3",17,"Illinois",170093,1,1,1,0,31,9,9,3,"March",3,"3:00am-3:59am",9,"9",2,"Urban",1,"Interstate",45,"Working Motor Vehicle",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",20,"Chevrolet","Chevrolet Equinox",14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",2007,"2007",0,"No Trailing Units",0,"No Special Use",0,"Not Applicable",0,"No Rollover",12,"12 Clock Point",0,"No or Not Reported",34,"34 Years",1,"Male",1,"Driver of a Motor Vehicle In-Transport",3,"Suspected Serious Injury (A)",11,"Front Seat, Left Side",3,"Shoulder and Lap Belt Used",0,"No Indication of Mis-Use",1,"Deployed- Front",0,"Not Ejected",0,"Ejection Path Not Applicable",0,"Not Extricated or Not Applicable",1,"Yes (Alcohol Involved)",1,"Evidential Test (breath, blood, urine)",2,"Test Given",1,"Blood",159,"0.159 % BAC",8,"Not Reported",8,"Not Reported",8,"Not Reported",5,"EMS Ground",0,"Not Applicable",88,"Not Applicable (Non-Fatal)",88,"Not Applicable (Non-Fatal)",8888,"Not Applicable (Non-fatal)",88,"Not Applicable (Non-fatal)",88,"Not Applicable (Non-fatal)",8888,"Not Applicable (Non-fatal)",999,"Unknown",99,"Unknown",0,"None",0,"None",0,"None",8,"Not Applicable (not a fatality)",0,"Not A Fatality (not Applicable)",0,"Occupant of a Motor Vehicle",20,"Not Applicable",7,"None Used/Not Applicable"
"4",17,"Illinois",170093,1,1,2,0,31,9,9,3,"March",3,"3:00am-3:59am",9,"9",2,"Urban",1,"Interstate",45,"Working Motor Vehicle",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",20,"Chevrolet","Chevrolet Equinox",14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",2007,"2007",0,"No Trailing Units",0,"No Special Use",0,"Not Applicable",0,"No Rollover",12,"12 Clock Point",0,"No or Not Reported",32,"32 Years",1,"Male",2,"Passenger of a Motor Vehicle In-Transport",4,"Fatal Injury (K)",13,"Front Seat, Right Side",3,"Shoulder and Lap Belt Used",0,"No Indication of Mis-Use",1,"Deployed- Front",0,"Not Ejected",0,"Ejection Path Not Applicable",0,"Not Extricated or Not Applicable",8,"Not Reported",9,"Not Reported",2,"Test Given",1,"Blood",91,"0.091 % BAC",8,"Not Reported",8,"Not Reported",2,"Test Given",5,"EMS Ground",0,"Not Applicable",9,"9",3,"March",2019,"2019",4,"4:00-4:59",20,"20",420,"420",1,"1",11,"11",0,"None",0,"None",0,"None",0,"No",7,"Non-Hispanic",0,"Occupant of a Motor Vehicle",20,"Not Applicable",7,"None Used/Not Applicable"
"5",17,"Illinois",170111,1,1,1,0,167,10,10,3,"March",23,"11:00pm-11:59pm",0,"0",2,"Urban",1,"Interstate",1,"Rollover/Overturn",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",7,"Dodge","Dodge Challenger (2008 on; for 1970-74 see model 005)",2,"2-door sedan,hardtop,coupe",2013,"2013",0,"No Trailing Units",0,"No Special Use",0,"Not Applicable",9,"Rollover, Unknown Type",0,"Non-Collision",0,"No or Not Reported",60,"60 Years",1,"Male",1,"Driver of a Motor Vehicle In-Transport",4,"Fatal Injury (K)",11,"Front Seat, Left Side",3,"Shoulder and Lap Belt Used",0,"No Indication of Mis-Use",8,"Deployed- Combination",0,"Not Ejected",0,"Ejection Path Not Applicable",0,"Not Extricated or Not Applicable",1,"Yes (Alcohol Involved)",9,"Not Reported",2,"Test Given",1,"Blood",125,"0.125 % BAC",8,"Not Reported",8,"Not Reported",2,"Test Given",0,"Not Transported",7,"Died at Scene",10,"10",3,"March",2019,"2019",23,"23:00-23:59",0,"0",2300,"2300",0,"0",0,"0",0,"None",0,"None",0,"None",0,"No",7,"Non-Hispanic",0,"Occupant of a Motor Vehicle",20,"Not Applicable",7,"None Used/Not Applicable"
"6",17,"Illinois",170135,2,1,1,0,97,30,30,3,"March",3,"3:00am-3:59am",26,"26",2,"Urban",1,"Interstate",12,"Motor Vehicle In-Transport",2,"Front-to-Front",0,"No",49,"Toyota","Toyota Sienna",20,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",2017,"2017",0,"No Trailing Units",0,"No Special Use",0,"Not Applicable",1,"Rollover, Tripped by Object/Vehicle",12,"12 Clock Point",0,"No or Not Reported",44,"44 Years",1,"Male",1,"Driver of a Motor Vehicle In-Transport",4,"Fatal Injury (K)",11,"Front Seat, Left Side",20,"None Used/Not Applicable",7,"None Used/Not Applicable",8,"Deployed- Combination",2,"Partially Ejected",9,"Ejection Path Unknown",0,"Not Extricated or Not Applicable",1,"Yes (Alcohol Involved)",1,"Evidential Test (breath, blood, urine)",2,"Test Given",1,"Blood",170,"0.170 % BAC",1,"Yes (drugs involved)",1,"Evidential Test (Blood, Urine)",2,"Test Given",0,"Not Transported",7,"Died at Scene",30,"30",3,"March",2019,"2019",3,"3:00-3:59",26,"26",326,"326",0,"0",0,"0",0,"None",0,"None",0,"None",0,"No",7,"Non-Hispanic",0,"Occupant of a Motor Vehicle",20,"Not Applicable",7,"None Used/Not Applicable"
"7",17,"Illinois",170138,4,1,1,0,43,28,28,3,"March",22,"10:00pm-10:59pm",53,"53",2,"Urban",1,"Interstate",12,"Motor Vehicle In-Transport",2,"Front-to-Front",0,"No",30,"Volkswagen","Volkswagen Jetta/Jetta SportsWagen",6,"Station Wagon (excluding van and truck based)",2005,"2005",0,"No Trailing Units",0,"No Special Use",0,"Not Applicable",0,"No Rollover",12,"12 Clock Point",0,"No or Not Reported",36,"36 Years",1,"Male",1,"Driver of a Motor Vehicle In-Transport",4,"Fatal Injury (K)",11,"Front Seat, Left Side",20,"None Used/Not Applicable",7,"None Used/Not Applicable",8,"Deployed- Combination",0,"Not Ejected",0,"Ejection Path Not Applicable",0,"Not Extricated or Not Applicable",9,"Reported as Unknown",9,"Not Reported",2,"Test Given",1,"Blood",226,"0.226 % BAC",9,"Reported as Unknown",8,"Not Reported",2,"Test Given",0,"Not Transported",7,"Died at Scene",28,"28",3,"March",2019,"2019",22,"22:00-22:59",53,"53",2253,"2253",0,"0",0,"0",0,"None",0,"None",0,"None",0,"No",1,"Mexican",0,"Occupant of a Motor Vehicle",20,"Not Applicable",7,"None Used/Not Applicable"
"8",17,"Illinois",170158,1,1,1,0,163,9,9,4,"April",23,"11:00pm-11:59pm",8,"8",2,"Urban",1,"Interstate",24,"Guardrail Face",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",2,"Jeep / Kaiser-Jeep / Willys- Jeep","Jeep / Kaiser-Jeep / Willys- Jeep Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.)",14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",2010,"2010",0,"No Trailing Units",0,"No Special Use",0,"Not Applicable",0,"No Rollover",1,"1 Clock Point",0,"No or Not Reported",47,"47 Years",1,"Male",1,"Driver of a Motor Vehicle In-Transport",4,"Fatal Injury (K)",11,"Front Seat, Left Side",20,"None Used/Not Applicable",7,"None Used/Not Applicable",1,"Deployed- Front",0,"Not Ejected",0,"Ejection Path Not Applicable",0,"Not Extricated or Not Applicable",9,"Reported as Unknown",9,"Not Reported",2,"Test Given",1,"Blood",273,"0.273 % BAC",9,"Reported as Unknown",8,"Not Reported",2,"Test Given",5,"EMS Ground",0,"Not Applicable",10,"10",4,"April",2019,"2019",0,"0:00-0:59",1,"1",1,"1",0,"0",53,"53",0,"None",0,"None",0,"None",0,"No",7,"Non-Hispanic",0,"Occupant of a Motor Vehicle",20,"Not Applicable",7,"None Used/Not Applicable"
"9",17,"Illinois",170170,1,1,1,0,31,17,17,3,"March",22,"10:00pm-10:59pm",0,"0",2,"Urban",1,"Interstate",43,"Other Fixed Object",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",0,"No",20,"Chevrolet","Chevrolet Impala/Caprice (For SS from 2014 on, use 20-021.)",4,"4-door sedan, hardtop",2009,"2009",0,"No Trailing Units",0,"No Special Use",0,"Not Applicable",0,"No Rollover",12,"12 Clock Point",0,"No or Not Reported",31,"31 Years",1,"Male",1,"Driver of a Motor Vehicle In-Transport",4,"Fatal Injury (K)",11,"Front Seat, Left Side",20,"None Used/Not Applicable",7,"None Used/Not Applicable",8,"Deployed- Combination",1,"Totally Ejected",9,"Ejection Path Unknown",0,"Not Extricated or Not Applicable",9,"Reported as Unknown",9,"Not Reported",2,"Test Given",1,"Blood",166,"0.166 % BAC",8,"Not Reported",8,"Not Reported",2,"Test Given",0,"Not Transported",7,"Died at Scene",17,"17",3,"March",2019,"2019",22,"22:00-22:59",0,"0",2200,"2200",0,"0",0,"0",0,"None",0,"None",0,"None",0,"No",7,"Non-Hispanic",0,"Occupant of a Motor Vehicle",20,"Not Applicable",7,"None Used/Not Applicable"
"10",17,"Illinois",170172,2,1,1,0,31,11,11,4,"April",23,"11:00pm-11:59pm",18,"18",2,"Urban",1,"Interstate",12,"Motor Vehicle In-Transport",1,"Front-to-Rear",0,"No",55,"Hyundai","Hyundai Santa Fe",14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",2017,"2017",0,"No Trailing Units",0,"No Special Use",0,"Not Applicable",0,"No Rollover",12,"12 Clock Point",0,"No or Not Reported",43,"43 Years",1,"Male",1,"Driver of a Motor Vehicle In-Transport",4,"Fatal Injury (K)",11,"Front Seat, Left Side",20,"None Used/Not Applicable",7,"None Used/Not Applicable",8,"Deployed- Combination",0,"Not Ejected",0,"Ejection Path Not Applicable",0,"Not Extricated or Not Applicable",9,"Reported as Unknown",9,"Not Reported",2,"Test Given",1,"Blood",99,"0.099 % BAC",9,"Reported as Unknown",8,"Not Reported",2,"Test Given",5,"EMS Ground",0,"Not Applicable",12,"12",4,"April",2019,"2019",12,"12:00-12:59",33,"33",1233,"1233",13,"13",15,"15",0,"None",0,"None",0,"None",0,"No",7,"Non-Hispanic",0,"Occupant of a Motor Vehicle",20,"Not Applicable",7,"None Used/Not Applicable"
