"","STATE","ST_CASE","VE_FORMS","VEH_NO","PER_NO","N_MOT_NO","COUNTY","DAY","MONTH","HOUR","MINUTE","ROAD_FNC","HARM_EV","MAN_COLL","SCH_BUS","MAKE","MAK_MOD","BODY_TYP","MOD_YEAR","VINTYPE","VINMAKE","VINA_MOD","VIN_BT","VINMODYR","VIN_LNGT","VIN_WGT","WGTCD_TR","WHLBS_LG","WHLBS_SH","SER_TR","FUELCODE","MCYCL_DS","TOW_VEH","SPEC_USE","EMER_USE","ROLLOVER","IMPACT1","IMPACT2","FIRE_EXP","AGE","SEX","PER_TYP","INJ_SEV","SEAT_POS","REST_USE","REST_MIS","AIR_BAG","EJECTION","EJ_PATH","EXTRICAT","DRINKING","ALC_DET","ALC_STATUS","ATST_TYP","ALC_RES","DRUGS","DRUG_DET","DSTATUS","DRUGTST1","DRUGTST2","DRUGTST3","DRUGRES1","DRUGRES2","DRUGRES3","HOSPITAL","DOA","DEATH_DA","DEATH_MO","DEATH_YR","DEATH_HR","DEATH_MN","DEATH_TM","LAG_HRS","LAG_MINS","P_SF1","P_SF2","P_SF3","CERT_NO","WORK_INJ","HISPANIC","RACE","LOCATION"
"1",9,90190,1,1,1,0,13,17,10,20,3,1,1,0,0,49,49401,14,2005,"P","TOYT","RV4","UT",5,17,3119,NA,0,980,NA,"G",NA,0,0,0,2,0,99,0,35,1,1,4,11,7,0,8,1,9,0,8,9,2,1,2,8,8,2,1,1,0,407,996,0,1,0,17,10,2010,22,32,2232,2,29,0,0,0,"************",0,7,1,0
"2",9,90190,1,1,2,0,13,17,10,20,3,1,1,0,0,49,49401,14,2005,"P","TOYT","RV4","UT",5,17,3119,NA,0,980,NA,"G",NA,0,0,0,2,0,99,0,29,1,2,4,13,7,0,8,1,9,0,8,9,2,1,10,8,8,2,1,1,0,407,996,0,0,7,17,10,2010,20,40,2040,0,37,0,0,0,"************",0,7,1,0
"3",9,90036,1,0,1,1,9,20,3,16,46,11,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1,5,4,0,96,8,97,8,0,0,1,1,2,1,28,8,8,2,1,1,1,313,351,996,5,0,20,3,2010,17,25,1725,0,39,0,0,0,"************",0,4,98,11
"4",9,90038,1,1,1,0,11,21,3,23,42,11,1,0,0,12,12401,14,2002,"P","FORD","EPR","UT",2,17,4386,NA,0,1137,NA,"G",NA,0,0,0,2,0,13,0,33,1,1,2,11,3,0,1,0,0,0,1,1,2,1,8,0,1,2,1,0,0,1,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,"************",8,0,0,0
"5",9,90038,1,1,4,0,11,21,3,23,42,11,1,0,0,12,12401,14,2002,"P","FORD","EPR","UT",2,17,4386,NA,0,1137,NA,"G",NA,0,0,0,2,0,13,0,27,1,2,4,23,7,0,0,1,9,0,8,9,2,1,16,8,8,2,1,0,0,996,0,0,0,7,21,3,2010,23,49,2349,0,7,0,0,0,"************",0,7,18,0
"6",9,90046,2,2,1,0,3,10,1,2,26,11,12,1,0,49,49401,14,2005,"P","TOYT","RUN","UT",5,17,4090,NA,0,1098,NA,"G",NA,0,0,0,0,12,12,0,52,1,1,4,11,7,0,1,0,0,1,1,1,2,1,18,8,8,2,1,0,0,1,0,0,5,0,10,1,2010,99,99,9999,999,99,0,0,0,"************",0,7,1,0
"7",9,90055,1,1,1,0,9,7,4,0,8,11,24,0,0,20,20403,14,2004,"P","CHEV","TRL","UT",4,17,4612,NA,0,1130,NA,"G",NA,0,0,0,1,12,12,0,27,1,1,4,11,7,0,20,1,2,0,1,1,2,1,27,8,8,2,1,0,0,1,0,0,0,7,7,4,2010,0,21,21,0,13,0,0,0,"************",0,7,1,0
"8",9,90080,1,1,1,0,3,14,5,0,8,11,42,0,0,35,35443,20,2000,"P","NISS","QST","SV",0,17,3738,NA,0,1122,NA,"G",NA,0,0,0,0,10,10,0,53,1,1,4,11,3,0,20,0,0,0,1,1,2,1,19,8,8,2,1,0,0,997,0,0,9,9,14,5,2010,99,99,9999,999,99,0,0,0,"************",0,99,99,0
"9",9,90087,1,1,1,0,7,23,5,14,17,11,30,0,0,72,72706,80,2006,"M","HD","FCI","RS",6,17,NA,NA,NA,NA,NA,NA,1450,0,0,0,0,12,12,0,51,1,1,4,11,17,0,0,8,0,0,8,9,2,1,20,8,8,2,1,0,0,996,0,0,0,7,23,5,2010,14,26,1426,0,9,0,0,0,"************",0,7,1,0
"10",9,90098,1,1,1,0,1,6,6,21,14,11,25,0,0,51,51045,4,2009,"P","VOLV","S8T","4D",9,17,4016,NA,0,1116,NA,"G",NA,0,0,0,0,12,12,1,59,1,1,4,11,99,0,99,0,0,1,1,1,2,1,4,1,1,2,1,1,0,351,395,0,0,7,6,6,2010,21,20,2120,0,6,0,0,0,"************",0,7,1,0
